Security Code,Security Id,Security Name
530621,AAIL,Akar Auto Industries Ltd
522201,AAKARENG,AAKAR ENGINEERING & MANUFACTURING COMPANY LTD.
542012,AAL,A-1 Acid Ltd
700027,AAMTOPR,AAMCOL TL PR
539096,AANANDALAK,Aananda Lakshmi Spinning Mills Ltd
538812,AANCHALISP,Aanchal Ispat Ltd
523511,AANKITG,AANKIT GRANITES LTD.
539632,AARCOM,AAR Commercial Company Ltd
539562,AARNAV,Aarnav Fashions Ltd
542377,AARSHYAM,Aar Shyam India Investment Company Ltd
542580,AARTECH,Aartech Solonics Ltd
524348,AARTIDRUGS,AARTI DRUGS LTD.
524208,AARTIIND,AARTI INDUSTRIES LTD.
514274,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.
526488,AARVINFRA,AARV Infratel Ltd
531731,AARYAGLOBL,AARYA GLOBAL SHARES AND SECURITIES LTD.
531514,AASHEESH,AASHEESH SECURITIES LTD.
541988,AAVAS,AAVAS Financiers Ltd
539528,AAYUSH,Aayush Food and Herbs Ltd
508987,ABACUS,ABACUS COMPUTERS LTD.
523204,ABAN,ABAN OFFSHORE LTD.
512165,ABANSENT,ABANS ENTERPRISES LTD
500002,ABB,ABB India Limited
500488,ABBOTINDIA,ABBOTT INDIA LTD.
540691,ABCAPITAL,Aditya Birla Capital Ltd
505665,ABCBEARS,ABC BEARINGS LTD.-$
513119,ABCGAS,ABC GAS (INTERNATIONAL) LTD.
500057,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.
520123,ABCINDQ,ABC INDIA LTD.-$
526699,ABCOPLS,ABCO PLASTICS LTD.
530833,ABEEINF,ABEE INFO-CONSUMABLES LTD.
535755,ABFRL,Aditya Birla Fashion and Retail Ltd
532682,ABGSHIP,ABG SHIPYARD LTD.
532057,ABHICAP,ABHINAV CAPITAL SERVICES LTD.
538935,ABHIFIN,Abhishek Finlease Ltd
539544,ABHIINFRA,Abhishek Infraventures Ltd
539560,ABHIJIT,Abhijit Trading Company Ltd
532831,ABHISHEK,ABHISHEK CORPORATION LTD.
511756,ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.
500303,ABIRLANUVO,ADITYA BIRLA NUVO LTD.
526955,ABLBIO,ABL BIOTECHNOLOGIES LTD.
531161,ABMKNO,ABM KNOWLEDGEWARE LTD.
542863,ABSLBANETF,ADITYA BIRLA SUN LIFE BANKING ETF
542230,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF
540742,ABSLRIF5DD,Aditya Birla Sun Life Resurgent India Fund - Series 5 - Direct Plan Dividend Payout
540741,ABSLRIF5DG,Aditya Birla Sun Life Resurgent India Fund - Series 5 - Direct Plan Growth
540740,ABSLRIF5RD,Aditya Birla Sun Life Resurgent India Fund - Series 5 - Regular Plan Dividend Payout
540739,ABSLRIF5RG,Aditya Birla Sun Life Resurgent India Fund - Series 5 - Regular Plan Growth
541095,ABSLRIF6DD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- DIVIDEND PAYOUT
541094,ABSLRIF6DG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- GROWTH
541093,ABSLRIF6RD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- DIVIDEND PAYOUT
541092,ABSLRIF6RG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- GROWTH
541255,ABSLRIF7DD,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - Dividend Payout
541254,ABSLRIF7DG,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - Growth Option
541253,ABSLRIF7RD,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan - Dividend Payout
541252,ABSLRIF7RG,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan - Growth Option
530881,ABVL,Arunjyoti Bio Ventures Ltd
500410,ACC,ACC LTD.
517494,ACCEL,Accel Ltd
532268,ACCELYA,Accelya Solutions India Ltd
534015,ACCELYABBPH,ACCELYABBPH
531897,ACCENTECH,ACCENTIA TECHNOLOGIES LTD.-$
526347,ACCLAIM,Acclaim Industries Limited
531905,ACCUEXPO,ACCURATE EXPORTS LTD.
530513,ACCURATE,ACCURATE TRANSFORMERS LTD.
532762,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.
530093,ACEEDU,ACE Edutrend Ltd
526077,ACELABO-B,ACE LABORATORIES LTD.
539661,ACEMEN,Ace Men Engg Works Ltd
532506,ACESFEXBBPH,ACESFEXBBPH
531525,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$
539570,ACEWIN,Acewin Agriteck Ltd
541133,ACFL,Apex Capital And Finance Ltd
536737,ACFSL,Amrapali Capital and Finance Services Ltd
505036,ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$
538570,ACHAL,Achal Investments Ltd
532919,ACIASIA,ALLIED COMPUTERS INTERNATIONAL (ASIA) LTD.
517356,ACIIN,ACI INFOCOM LTD.
530901,ACIL,ACIL Cotton Industries Limited
530043,ACKNIT,ACKNIT INDUSTRIES LTD.
539391,ACME,Acme Resources Ltd
526514,ACMEIND,ACME INDUSTRIES LTD.
540146,ACML,Aditya Consumer Marketing Ltd
512628,ACQUATR,ACQUAINT EXPORTS LTD.
533330,ACROPETAL,ACROPETAL TECHNOLOGIES LTD.
513149,ACROW,ACROW INDIA LTD.
524091,ACRYSIL,ACRYSIL LTD.
511706,ACTIONFI,ACTION FINANCIAL SERVICES (INDIA) LTD.
541144,ACTIVE,Active Clothing Co Ltd
526177,ADAMCO,ADAM COMSOF LTD.
512599,ADANIENT,ADANI ENTERPRISES LTD.
542066,ADANIGAS,Adani Gas Ltd
541450,ADANIGREEN,Adani Green Energy Ltd
532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.
533096,ADANIPOWER,ADANI POWER LTD.
539254,ADANITRANS,Adani Transmission Ltd
506225,ADARCHM,ADARSH CHEMICALS & FERTILIZERS LTD.
538563,ADARSH,Adarsh Mercantile Ltd
526711,ADARSHPL,ADARSH PLANT PROTECT LTD.
523411,ADCINDIA,ADC India Communications Limited-$
539506,ADCON,Adcon Capital Services Ltd
511670,ADCONCP,ADCON CAPITAL SERVICES LTD.
507852,ADDIND,ADDI INDUSTRIES LTD.-$
524665,ADDLP,ADD-LIFE PHARMA LTD.
540046,ADFBBPH,ADFBBPH
519183,ADFFOODS,ADF FOODS LTD.-$
539493,ADHARSHILA,Adharshila Capital Services Ltd
539189,ADHBHUTIN,Adhbhut Infrastructure Ltd
780018,ADHIRAJ,Adhiraj Distributors Ltd
532727,ADHUNIK,ADHUNIK METALIKS LTD.
538365,ADHUNIKIND,Adhunik Industries Ltd
514055,ADHUSYN,ADHUNIK SYNTHETICS LTD.
514452,ADHUYRN,ADHUNIK YARNS LTD.
532056,ADIEXRE,ADINATH EXIM RESOURCES LTD.
514113,ADINATH,ADINATH TEXTILES LTD.
590088,ADINATHBI,ADINATH BIO-LABS LTD.
512571,ADITLIM,ADITYA LIME INDUSTRIES LTD.
534707,ADITRI,Aditri Industries Ltd
513513,ADITYA,ADITYA ISPAT LTD.
531588,ADITYAIN,ADITYA INTERNATIONAL LTD.
530693,ADITYAINF,ADITYA INFO-SOFT LTD.
521141,ADITYASP,ADITYA SPINNERS LTD.
517405,ADITYEL,ADITYA ELECTRO COMMUNICATIONS LTD.
514338,ADITYPL,ADITYA POLYMERS LTD.
539056,ADLABS,Adlabs Entertainment Ltd
511359,ADMANUM,AD-MANUM FINANCE LTD.
530431,ADORFO,ADOR FONTECH LTD.-$
523120,ADORMUL,ADOR MULTIPRODUCTS LTD.
516076,ADORTECH,ADOR TECHNOPAK LTD.
517041,ADORWELD,ADOR WELDING LTD.
532172,ADROITINFO,Adroit Infotech Ltd
532875,ADSL,ALLIED DIGITAL SERVICES LTD.
533396,ADSLBBPH,ADSLBBPH
522150,ADTYFRG,ADITYA FORGE LTD.
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.
532840,ADVANTA,Advanta Limited
531429,ADVENT,ADVENT COMPUTER SERVICES LTD.
540025,ADVENZYMES,Advanced Enzyme Technologies Ltd
539773,ADVIKCA,Advik Capital Ltd
531686,ADVIKLA,ADVIK LABORATORIES LTD.
541152,ADVITIYA,Advitiya Trade India Ltd
521048,ADVLIFE,ADVANCE LIFESTYLES LTD.
526331,ADVMULT,ADVANCE MULTITECH LTD.
517552,ADVNCMIC,ADVANCED MICRONIC DEVICES LTD.-$
506947,ADVPETR-B,ADVANCE PETROCHEMICALS LTD.
531047,ADVPOWER,Advance PowerInfra Tech Limited
523080,AEC,AEC (INDIA) LTD.
530211,AECENTP,AEC ENTERPRISES LTD.
533092,AEGISLOBBPH,AEGISLOBBPH
500003,AEGISLOG,AEGIS LOGISTICS LTD.
532620,AEGISLOGBB,AEGISLOGBB
539196,AEL,Amba Enterprises Ltd
503655,AEONIA,AEONIAN INVESTMENTS CO.LTD.
531787,AESCREM,AESCREM
531786,AESCURE,AESCULAPIUS REMEDIES LTD.
538351,AFEL,A.F. Enterprises Ltd
542752,AFFLE,Affle (India) Ltd
541402,AFFORDABLE,Affordable Robotic & Automation Ltd
530707,AFTEK,AFTEK LTD.
531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD.
500463,AGCNET,AGC Networks Limited
539042,AGIIL,AGI Infra Ltd
516020,AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.-$
542579,AGOL,Ashapuri Gold Ornament Ltd
531549,AGRIMAS,AGRIMAS CHEMICALS LTD.
537492,AGRIMONY,Agrimony Commodities Ltd
537292,AGRITECH,Agri- Tech (India) Ltd
523361,AGRITHA,AGRITECH HATCHERIES & FOODS LTD.
519536,AGRMARI,AGRI-MARINE EXPORTS LTD.
506965,AGROCHM,AGRO CHEM PUNJAB LTD.
519281,AGRODUTCH,AGRO DUTCH INDUSTRIES LTD.
533314,AGSINFO,AGS INFOTECH LIMITED
524448,AHLCONQ,AHLCON PARENTERALS (INDIA) LTD.
533227,AHLEAST,ASIAN HOTELS (EAST) LTD.
532811,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.
533221,AHLWEST,ASIAN HOTELS (WEST) LTD.
522273,AHMDSTE,AHMEDABAD STEELCRAFT LTD.
530749,AHURAWE,AHURA WELDING ELECTRODE MANUFACTURERS LTD.
532683,AIAENG,AIA ENGINEERING LTD.
532806,AICHAMP,AI CHAMPDANY INDUSTRIES LTD.
535467,AIFL,ASHAPURA INTIMATES FASHION LTD.
542524,AIHL,Ambassador Intra Holdings Ltd
539177,AIIL,Authum Investment & Infrastructure Ltd
524288,AIMCOPEST,AIMCO PESTICIDES LTD.
534064,AIML,ALLIANCE INTEGRATED METALIKS LTD.
536767,AIMLBBPH,AIMLBBPH
539620,AINFRA,A Infrastructure Ltd
506822,AIPCL,Aikyam Intellectual Property Consultancy Limited
523421,AIRCOMI,AIRCOMMAND INDIA LTD.
526189,AIRCTEC,AIRCOMMAND AIRTECHNICS LTD.
532975,AISHWARYA,AISHWARYA TELECOM LTD.
532331,AJANTPHARM,AJANTA PHARMA LTD.
519216,AJANTSOY,AJANTA SOYA LTD.
511662,AJBRO,A.J.BROTHERS LTD.
511692,AJCON,AJCON GLOBAL SERVICES LTD.
530713,AJEL,AJEL LTD.
514394,AJIL,Atlas Jewellery India Limited
513349,AJMERA,AJMERA REALTY & INFRA INDIA LTD.
505988,AJNTTUB,AJANTA TUBES LTD.
526628,AJWAFUN,AJWA FUN WORLD & RESORT LTD.
514476,AKAIMPX,AKAI IMPEX LTD.
500005,AKARLAMIN,AKAR LAMINATORS LTD.
501413,AKASAGC,AKASH AGENCIES LTD.
530691,AKASAGR,AKASH AGRO INDUSTRIES LTD.
538778,AKASHDEEP,Akashdeep Metal Industries Ltd
531561,AKASHSG,AKASH HOUSING LTD.
530499,AKCAPIT,A.K.CAPITAL SERVICES LTD.
514039,AKCSYNT,AKC SYNTHETICS LTD.
517212,AKGACCU,AKG ACOUSTICS (INDIA) LTD.
542020,AKI,AKI India Ltd
540718,AKM,AKM Lace and Embrotex Ltd
524598,AKSCHEM,AKSHARCHEM (INDIA) LTD.-$
526985,AKSCRE,AKS CREDITS LTD.
541303,AKSHAR,Akshar Spintex Ltd
532351,AKSHOPTFBR,AKSH OPTIFIBRE LTD.
539300,AKSPINTEX,A.K. Spintex Ltd
500710,AKZOINDIA,Akzo Nobel India Limited
517362,ALACRIEL,ALACRITY ELECTRONICS LTD.
523738,ALACRIHS,ALACRITY HOUSING LTD.
532049,ALAMCHE,ALAMCHE
531986,ALAMFIN,AL-AMANAT FINANCE & CAPITAL SERVICES LTD.
539115,ALAN SCOTT,Alan Scott Industries Ltd
531517,ALANGIND,ALANG INDUSTRIAL GASES LTD.
531082,ALANKIT,Alankit Ltd
524075,ALBERTDA,ALBERT DAVID LTD.-$
532480,ALBK,ALLAHABAD BANK
534523,ALCARGOBBPH,ALCARGOBBPH
531409,ALCHCORP,ALCHEMIST CORPORATION LTD.
526707,ALCHEM,ALCHEMIST LTD.
513412,ALCOBMT-B,ALCOBEX METALS LTD.
524596,ALCORDM,ALCHEMIE ORGANICS LTD.
533035,ALEMBICBBPH,ALEMBICBBPH
506235,ALEMBICLTD,ALEMBIC LTD.
750282,ALEMBR,ALEMBIC LTD
501415,ALERPTR,ALERT PETROGAS LTD.
511463,ALEXANDER,Alexander Stamps And Coin Ltd
507933,ALEXCON,ALEXCON FOAMCAST LTD.
531181,ALFAEXPDM,ALFA EXPORT TECHNOLOGIES (INDIA) LT
530973,ALFAICA,ALFA ICA (INDIA) LTD.
505885,ALFALAVAL,ALFA LAVAL (INDIA) LTD.
517546,ALFATRAN,ALFA TRANSFORMERS LTD.
531156,ALFAVIO,ALFAVISION OVERSEAS (INDIA) LTD.
538952,ALFL,Abhinav Leasing & Finance Ltd
505216,ALFREDHE,ALFRED HERBERT (INDIA) LTD.
507964,ALIANCP,ALLIANCE CAPITAL & FINANCIAL SERVICES LTD.
531147,ALICON,Alicon Castalloy Limited
530889,ALKA,ALKA INDIA LTD.
531581,ALKADIA,ALKA DIAMOND INDUSTRIES LTD.
533029,ALKALI,ALKALI METALS LTD.
532166,ALKASEC,ALKA SECURITIES LTD.
539523,ALKEM,Alkem Laboratories Ltd
506767,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$
532749,ALLCARGO,ALLCARGO LOGISTICS LTD.
524538,ALLRESN,ALLIED RESINS & CHEMICALS LTD.
532633,ALLSEC,ALLSEC TECHNOLOGIES LTD.
532327,ALLSOFT,ALLSOFT CORPORATION LTD.
531400,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.
506120,ALNATRD,ALNA TRADING & EXPORTS LTD.
700093,ALOKCRPS,ALOK 10%CRPS
521070,ALOKTEXT,ALOK INDUSTRIES LTD.
539693,ALORA,Alora Trading Company Ltd
532878,ALPA,ALPA LABORATORIES LTD.
526919,ALPEXPS,ALP EXPORTS LTD.
531720,ALPGRAPH,ALPHA GRAPHIC INDIA LTD.
531247,ALPHA,ALPHA HI-TECH FUEL LTD.
500006,ALPHADR,ALPHA DRUG INDIA LTD.
526397,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$
511325,ALPICFIN,ALPIC FINANCE LTD.
526519,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.
511694,ALPINFN,ALPINE CAPITAL SERVICES LTD.
519012,ALPININ-B,ALPINE INDUSTRIES LTD.
530715,ALPSINDUS,ALPS INDUSTRIES LTD.
531924,ALPSINFO,ALPS INFOSYS LTD.
526003,ALPSLAB,ALPS LABORATORIES LTD.
538423,ALPSMOTOR,Alps Motor Finance Ltd
523447,ALSAMRN-B,ALSA MARINE & HARVESTS LTD.
535916,ALSL,Alacrity Securities Ltd
539277,ALSTONE,Alstone Textiles (India) Ltd
524634,ALUFLUOR,ALUFLUORIDE LTD.
522114,ALXNXTR,ALEXCON EXTRUSIONS LTD.
506597,AMAL,AMAL LTD.
501622,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.
512008,AMANITRA,AMANI TRADING & EXPORTS LTD.
532664,AMAR,AMAR REMEDIES LTD.
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.
531681,AMARDEE,AMRADEEP INDUSTRIES LTD.
521097,AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.
538863,AMARNATH,Sri Amarnath Finance Ltd
514270,AMARPLY,AMAR POLYESTERS LTD.
538465,AMARSEC,Amarnath Securities Ltd
512503,AMARVAN,AMAR VANIJYA LTD.
531112,AMAZEENT,Amaze Entertech Ltd
519164,AMBAGIN,AMBUJA AGRO INDUSTRIES LTD.
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
519471,AMBARPIL,Ambar Protein Industries Ltd
532201,AMBCEMES,AMBUJA CEMENT EASTERN LTD.
531202,AMBEHOT,AMBE HOTELS AND RESORTS LTD.
540902,AMBER,Amber Enterprises India Ltd
532335,AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD.
531978,AMBIKCO,AMBIKA COTTON MILLS LTD.
540193,AMBIKCOBBPH,AMBIKCOBBPH
526439,AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.
539223,AMBITION,Ambition Mica Ltd
513317,AMBJELE,AMBUJA ELECTROCASTINGS LTD.
519142,AMBJFLR,AMBUJA FLOUR MILLS LTD.
513357,AMBJZNC,AMBUJA ZINC LTD.
511587,AMBSECU,AMBSECU
500425,AMBUJACEM,AMBUJA CEMENTS LTD.
500122,AMBUJACEMR,AMBUJA CEMENT RAJASTHAN LTD.
530133,AMCOIND,AMCO INDIA LTD.-$
532828,AMDIND,AMD INDUSTRIES LTD.
531534,AMEREDM,AMERICAN REMEDIES LTD.
531785,AMERPNT,AMERICAN PAINTS (INDIA) LTD.
531321,AMEXCHE,AMEX CARBONATES & CHEMICALS LTD.
540697,AMFL,A & M Febcon Ltd
513117,AMFORG,AMFORGE INDUSTRIES LTD.
526805,AMICOMP,AMI COMPUTERS (I) LTD.
512638,AMIGOEXDM,AMIGO EXPORTS LTD.
541771,AMINTAN,Amin Tannery Ltd
524386,AMINXCHDM,AMINXCHDM
519275,AMISNFD,AMISON FOODS LTD.
531300,AMITINT,AMIT INTERNATIONAL LTD.
531557,AMITSEC,AMIT SECURITIES LTD.
500343,AMJLAND,AMJ Land Holdings Ltd
540923,AML,Ashoka Metcast Ltd
506248,AMNPLST,AMINES & PLASTICIZERS LTD.
519345,AMPRPRO,AMPRO PRODUCTS LTD.
531991,AMRAAGRI,AMRAWORLD AGRICO LTD.
524070,AMRACHEDM,AMRACHEDM
539265,AMRAFIN,Amrapali Fincap Ltd
531442,AMRALCO,AMAR ALCOHOLI LTD.
521103,AMRAPALI,AMRAPALI DEVELOPERS (INDIA) LTD.
526241,AMRAPLIN,AMRAPALI INDUSTRIES LTD.
506245,AMRDYCMDM,AMAR DYE-CHEM LTD.
531728,AMRITBANA,AMRIT BANASPATI COMPANY LTD.
700123,AMRITBNPS,AMRITBNPS
507525,AMRITCORP,AMRIT CORP.LTD.-$
500011,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.
519132,AMRTPRTDM,AMRIT PROTEIN FOODS LTD.
590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$
511575,AMRUTCR,AMRUT CREDIT CORPORATION (INDIA) LTD.
540066,AMS,AMS Polymers Ltd
538861,AMSONS,Amsons Apparels Ltd
520077,AMTEKAUTO,AMTEK AUTO LTD.-$
533906,AMTEKBBPH,AMTEKBBPH
521024,AMTEXTL,AMETHI TEXTILES LTD.
534612,AMTL,ADVANCE METERING TECHNOLOGY LTD.
509356,AMZLAUT,AMZEL AUTOMOTIVE LTD.
521165,ANACOTS,ANAND COTSPIN LTD.
531678,ANANDCR,ANAND CREDIT LTD.
501630,ANANDPROJ,Anand Projects Ltd
531999,ANANDRU,ANAN DRUGS & CHEM LTD.
521012,ANANROT,ANANT ROTOSPIN LTD.
515055,ANANTRAJ,Anant Raj Limited-$
517455,ANCO,ANCO COMMUNICATIONS LTD.
532418,ANDHRABANK,ANDHRA BANK
532141,ANDHRACEMT,ANDHRA CEMENTS LTD.
502330,ANDHRAPAP,Andhra Paper Ltd
500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
513002,ANDHRSI,ANDHRA SINTER LTD.
590062,ANDHRSUGAR,ANDHRA SUGARS LTD.
526173,ANDREWYU,ANDREW YULE & COMPANY LTD.
531252,ANERI,Aneri Fincap Ltd
540694,ANG,ANG Lifesciences India Ltd
533000,ANGAUTOBBPH,ANG AUTO*
541006,ANGEL,Angel Fibers Ltd
512010,ANGFNDM,ANGFNDM
530721,ANGIND,ANG Industries Limited
512225,ANGLOBA,AN GLOBAL LTD.
519383,ANIKINDS,ANIK INDUSTRIES LTD.
531718,ANIKSHIP,ANIK SHIP BREAKING INDUSTRIES LTD.
513440,ANIKSTL,ANIK STEELS LTD.
524554,ANILALM,MSD INDUSTRIAL ENTERPRISES LTD.
532910,ANILLTD,ANIL LTD.
504629,ANILSPL,ANIL SPECIAL STEEL INDUSTRIES LTD.-$
537785,ANISHAIMPEX,Anisha Impex Ltd
531223,ANJANI,ANJANI SYNTHETICS LTD.-$
531878,ANJANIFIN,ANJANI FINANCE LTD.
511153,ANJANIFOODS,Anjani Foods Ltd
526377,ANJNSOL,ANJANI SOLVENTS INDIA LTD.
531673,ANKIN,ANKA INDIA LTD.
532870,ANKITMETAL,ANKIT METAL & POWER LTD.
514262,ANKITYN,ANKIT YARNS LTD.
531683,ANKURDRUGS,ANKUR DRUGS & PHARMA LTD.-$
531519,ANKUSHFI,ANKUSH FINSTOCK LTD.
542437,ANMOL,Anmol India Ltd
524778,ANMOLDG,ANMOL DRUGS & PHARMACEUTICALS LTD.
